time_slot;ngram;n;df_idft
2025-08-09;l i;2;0.08633093525179857
2025-08-09;u l;2;0.03597122302158273
2025-08-09;e d;2;0.02158273381294964
2025-08-09;k i;2;0.04316546762589928
2025-08-09;d o;2;0.07194244604316546
2025-08-09;n o;2;0.03597122302158273
2025-08-09;o  ;2;0.08633093525179857
2025-08-09;  e;2;0.03597122302158273
2025-08-09;e k;2;0.07913669064748201
2025-08-09;r e;2;0.05755395683453238
2025-08-09;g e;2;0.05755395683453238
2025-08-09;s m;2;0.02877697841726619
2025-08-09;h g;2;0.014388489208633094
2025-08-09;b l;2;0.014388489208633094
2025-08-09;w u;2;0.02158273381294964
2025-08-09;o x;2;0.007194244604316547
2025-08-09;h i;2;0.050359712230215826
2025-08-09;o b;2;0.014388489208633094
2025-08-09;o n;2;0.11510791366906475
2025-08-09;u d;2;0.05755395683453238
2025-08-09;x  ;2;0.007194244604316547
2025-08-09;p i;2;0.07194244604316546
2025-08-09;  z;2;0.007194244604316547
2025-08-09;z e;2;0.007194244604316547
2025-08-09;i p;2;0.02158273381294964
2025-08-09;b o;2;0.02158273381294964
2025-08-09;o w;2;0.014388489208633094
2025-08-09;w o;2;0.02158273381294964
2025-08-09;m k;2;0.014388489208633094
2025-08-09;k n;2;0.007194244604316547
2025-08-09;e b;2;0.02877697841726619
2025-08-09;m g;2;0.007194244604316547
2025-08-09;r t;2;0.02877697841726619
2025-08-09;g o;2;0.03597122302158273
2025-08-09;g n;2;0.014388489208633094
2025-08-09;u i;2;0.007194244604316547
2025-08-09;c u;2;0.007194244604316547
2025-08-09;i d;2;0.03597122302158273
2025-08-09;  v;2;0.014388489208633094
2025-08-09;v a;2;0.02158273381294964
2025-08-09;j g;2;0.014388489208633094
2025-08-09;u g;2;0.014388489208633094
2025-08-09;m m;2;0.007194244604316547
2025-08-09;i y;2;0.007194244604316547
2025-08-09;i w;2;0.007194244604316547
2025-08-09;p t;2;0.007194244604316547
2025-08-09;l y;2;0.007194244604316547
2025-08-09;n m;2;0.007194244604316547
2025-08-09;y o;2;0.014388489208633094
2025-08-09;p g;2;0.014388489208633094
2025-08-09;l s;2;0.014388489208633094
2025-08-09;n c;2;0.014388489208633094
2025-08-09;  y;2;0.007194244604316547
2025-08-09;c h;2;0.02158273381294964
2025-08-09;p o;2;0.050359712230215826
2025-08-09;r l;2;0.007194244604316547
2025-08-09;a c;2;0.014388489208633094
2025-08-09;e a;2;0.007194244604316547
2025-08-09;s h;2;0.007194244604316547
2025-08-09;e e;2;0.007194244604316547
2025-08-09;o j;2;0.014388489208633094
2025-08-09;d r;2;0.007194244604316547
2025-08-09;t s;2;0.007194244604316547
2025-08-09;o h;2;0.014388489208633094
2025-08-09;s w;2;0.02158273381294964
2025-08-09;m t;2;0.007194244604316547
2025-08-09;e c;2;0.014388489208633094
2025-08-09;h o;2;0.007194244604316547
2025-08-09;s r;2;0.007194244604316547
2025-08-09;s n;2;0.007194244604316547
2025-08-09;j o;2;0.007194244604316547
2025-08-09;l l;2;0.007194244604316547
2025-08-09;e  ;2;0.02158273381294964
2025-08-09;r n;2;0.007194244604316547
2025-08-09;k h;2;0.014388489208633094
2025-08-09;r j;2;0.014388489208633094
2025-08-09;m s;2;0.014388489208633094
2025-08-09;w  ;2;0.007194244604316547
2025-08-09;g w;2;0.007194244604316547
2025-08-09;k y;2;0.007194244604316547
2025-08-09;i f;2;0.014388489208633094
2025-08-09;i j;2;0.014388489208633094
2025-08-09;o a;2;0.007194244604316547
2025-08-09;r d;2;0.02158273381294964
2025-08-09;k m;2;0.014388489208633094
2025-08-09;w e;2;0.014388489208633094
2025-08-09;f a;2;0.007194244604316547
2025-08-09;n f;2;0.007194244604316547
2025-08-09;a a;2;0.007194244604316547
2025-08-09;y u;2;0.007194244604316547
2025-08-09;s y;2;0.007194244604316547
2025-08-09;j l;2;0.007194244604316547
2025-08-09;o t;2;0.014388489208633094
2025-08-09;c  ;2;0.007194244604316547
2025-08-09;t o;2;0.014388489208633094
2025-08-09;m o;2;0.02158273381294964
2025-08-09;d g;2;0.007194244604316547
2025-08-09;b s;2;0.007194244604316547
2025-08-09;d l;2;0.007194244604316547
2025-08-09;e v;2;0.007194244604316547
